Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
Wasserspeyer,https://codingdavinci.de/de/projekte/wasserspeyer,default-active.png,,,/sites/default/files/2019-07/default-active.png,image/png,Berlin 2015
Wiederaufbau Ost-Berlin,https://codingdavinci.de/de/projekte/wiederaufbau-ost-berlin,Screenshot_2019-08-01 Aufbau Ost-Berlin.png,,,/sites/default/files/2019-08/Screenshot_2019-08-01%20Aufbau%20Ost-Berlin.png,image/png,Berlin 2015
Archäologische Kulturdaten für Schulen,https://codingdavinci.de/de/projekte/archaeologische-kulturdaten-fuer-schulen,edu-sharing.jpg,,,/sites/default/files/2019-07/edu-sharing.jpg,image/jpeg,Nord 2016
Chronoscope Hamburg / Chronoscope World,https://codingdavinci.de/de/projekte/chronoscope-hamburg-chronoscope-world,Chronoscope-iPadiPhone_1280.jpg,,,/sites/default/files/2019-07/Chronoscope-iPadiPhone_1280.jpg,image/jpeg,Nord 2016
Hamburger Schüler im Museum,https://codingdavinci.de/de/projekte/hamburger-schueler-im-museum,hamburger-schueler.png,,,/sites/default/files/2019-07/hamburger-schueler.png,image/png,Nord 2016
Hansestadt Hamburgs Historical Heritage (HH-HH),https://codingdavinci.de/de/projekte/hansestadt-hamburgs-historical-heritage-hh-hh,HHHH_Titelbild.jpg,,,/sites/default/files/2019-07/HHHH_Titelbild.jpg,image/jpeg,Nord 2016
Histblogger – Kopergravure,https://codingdavinci.de/de/projekte/histblogger-kopergravure,HistbloggerBild.jpg,,,/sites/default/files/2019-07/HistbloggerBild.jpg,image/jpeg,Nord 2016
Klang der Sterne,https://codingdavinci.de/de/projekte/klang-der-sterne,klang-der-sterne.png,,,/sites/default/files/2019-07/klang-der-sterne.png,image/png,Nord 2016
kollekTOURmat – unterwegs in Hamburg,https://codingdavinci.de/de/projekte/kollektourmat-unterwegs-hamburg,kollekTOURmat_Karte.png,,,/sites/default/files/2019-07/kollekTOURmat_Karte.png,image/png,Nord 2016
Kupferguerillas,https://codingdavinci.de/de/projekte/kupferguerillas,kupferguerillas.png,,,/sites/default/files/2019-07/kupferguerillas.png,image/png,Nord 2016
Language & Places,https://codingdavinci.de/de/projekte/language-places,language_places.jpg,,,/sites/default/files/2019-07/language_places.jpg,image/jpeg,Nord 2016
MKGo,https://codingdavinci.de/de/projekte/mkgo,mkgo_collage.png,,,/sites/default/files/2019-07/mkgo_collage.png,image/png,Nord 2016
Münz-Memory,https://codingdavinci.de/de/projekte/muenz-memory,muenz-memory.png,,,/sites/default/files/2019-07/muenz-memory.png,image/png,Nord 2016
sieben x zwei – Von Tugenden und Lastern,https://codingdavinci.de/de/projekte/sieben-x-zwei-von-tugenden-und-lastern,siebenxzwei.jpg,,,/sites/default/files/2019-07/siebenxzwei.jpg,image/jpeg,Nord 2016
SOS – Sound of Sails,https://codingdavinci.de/de/projekte/sos-sound-sails,sound-of-sails.png,,,/sites/default/files/2019-07/sound-of-sails.png,image/png,Nord 2016
Unser modernes Hamburg // Fritz Schumacher,https://codingdavinci.de/de/projekte/unser-modernes-hamburg-fritz-schumacher,Unser_modernes_Hamburg.png,,,/sites/default/files/2019-07/Unser_modernes_Hamburg.png,image/png,Nord 2016
